"","ag.artist_name","ag.artist_id","ag.album_type","ag.album_release_date","ag.album_release_year","ag.album_release_date_precision","ag.danceability","ag.energy","ag.energy.1","ag.key","ag.loudness","ag.mode","ag.speechiness","ag.acousticness","ag.instrumentalness","ag.liveness","ag.liveness.1","ag.valence","ag.tempo","ag.track_id","ag.duration_ms","ag.explicit","ag.is_local","ag.track_name","ag.track_number","ag.type","ag.album_name","ag.key_name","ag.mode_name","ag.key_mode"
"38","Bruno Mars","0du5cEVh5yTK9QJze8zA0C","album","2010-10-05",2010,"day",0.589,0.389,0.389,0,-5.972,1,0.028,0.851,0,0.0772,0.0772,0.501,89.1,"7l1qvxWjxcKpB9PCtBuTbU",197469,FALSE,FALSE,"Count on Me",9,"track","Doo-Wops & Hooligans","C","major","C major"
"39","Bruno Mars","0du5cEVh5yTK9QJze8zA0C","album","2010-10-05",2010,"day",0.555,0.814,0.814,5,-3.927,0,0.0303,0.0993,3.7e-06,0.128,0.128,0.523,140.081,"0HasfWMrNxTjycDy9TkRtA",228346,FALSE,FALSE,"The Other Side (feat. CeeLo Green and B.o.B)",10,"track","Doo-Wops & Hooligans","F","minor","F minor"
"40","Katy Perry","6jJ0s89eD6GaHleKKya26X","album","2023-06-20",2023,"day",0.565,0.912,0.912,5,-2.34,1,0.0525,0.00215,1.67e-06,0.0807,0.0807,0.686,145.951,"6uIODsxIHybW8ngRUAACb6",247653,FALSE,FALSE,"One Of The Boys",1,"track","One Of The Boys (15th Anniversary Edition)","F","major","F major"
"41","Katy Perry","6jJ0s89eD6GaHleKKya26X","album","2023-06-20",2023,"day",0.68,0.787,0.787,9,-3.195,0,0.104,0.00238,0,0.0888,0.0888,0.686,129.998,"1uQDjeqWqHd3LwkYZ2vKvP",179640,FALSE,FALSE,"I Kissed A Girl",2,"track","One Of The Boys (15th Anniversary Edition)","A","minor","A minor"
"42","Katy Perry","6jJ0s89eD6GaHleKKya26X","album","2023-06-20",2023,"day",0.532,0.867,0.867,5,-3.146,0,0.0336,0.00129,0,0.119,0.119,0.654,130.971,"0WDYdvKkDrwnVuxtNJtLHE",199186,FALSE,FALSE,"Waking Up In Vegas",3,"track","One Of The Boys (15th Anniversary Edition)","F","minor","F minor"
"43","Katy Perry","6jJ0s89eD6GaHleKKya26X","album","2023-06-20",2023,"day",0.434,0.807,0.807,4,-4.402,1,0.0372,0.00174,0,0.332,0.332,0.296,146.97,"584fagKwwsFMKjxqFi2AOo",246440,FALSE,FALSE,"Thinking Of You",4,"track","One Of The Boys (15th Anniversary Edition)","E","major","E major"
"44","Katy Perry","6jJ0s89eD6GaHleKKya26X","album","2023-06-20",2023,"day",0.567,0.827,0.827,7,-4.449,1,0.0833,0.0189,0,0.575,0.575,0.643,138.97,"3200Oy2pnzyxUjTIwGWCEL",197013,FALSE,FALSE,"Mannequin",5,"track","One Of The Boys (15th Anniversary Edition)","G","major","G major"
"45","Katy Perry","6jJ0s89eD6GaHleKKya26X","album","2023-06-20",2023,"day",0.643,0.878,0.878,4,-4.226,0,0.0635,0.0392,1.19e-06,0.15,0.15,0.613,78.966,"5CTUG0mPVqyinO2ZHPgn3I",217426,FALSE,FALSE,"Ur So Gay",6,"track","One Of The Boys (15th Anniversary Edition)","E","minor","E minor"
"46","Katy Perry","6jJ0s89eD6GaHleKKya26X","album","2023-06-20",2023,"day",0.708,0.851,0.851,7,-3.971,1,0.0404,7.98e-05,0,0.0665,0.0665,0.868,132.029,"6Qq8K305vIxgvtMWI1fkQG",220226,FALSE,FALSE,"Hot N Cold",7,"track","One Of The Boys (15th Anniversary Edition)","G","major","G major"
"47","Katy Perry","6jJ0s89eD6GaHleKKya26X","album","2023-06-20",2023,"day",0.616,0.881,0.881,6,-3.162,1,0.0964,0.012,0,0.178,0.178,0.857,149.927,"4WqiQqsqWRqcLPnoxwfPAi",198346,FALSE,FALSE,"If You Can Afford Me",8,"track","One Of The Boys (15th Anniversary Edition)","F#","major","F# major"
